id,type
1,ham
2,ham
3,spam
4,ham
5,ham
6,spam
7,ham
8,ham
9,spam
10,spam
11,ham
12,spam
13,spam
14,ham
15,ham
16,spam
17,ham
18,ham
19,ham
20,spam
21,ham
22,ham
23,ham
24,ham
25,ham
26,ham
27,ham
28,ham
29,ham
30,ham
31,ham
32,ham
33,ham
34,ham
35,spam
36,ham
37,ham
38,ham
39,ham
40,ham
41,ham
42,ham
43,spam
44,ham
45,ham
46,ham
47,ham
48,ham
49,ham
50,ham
51,ham
52,ham
53,ham
54,ham
55,spam
56,ham
57,spam
58,ham
59,ham
60,spam
61,ham
62,ham
63,ham
64,ham
65,ham
66,spam
67,ham
68,spam
69,ham
70,ham
71,ham
72,ham
73,ham
74,ham
75,ham
76,ham
77,ham
78,ham
79,ham
80,ham
81,ham
82,ham
83,ham
84,ham
85,ham
86,ham
87,ham
88,ham
89,ham
90,ham
91,ham
92,ham
93,ham
94,spam
95,ham
96,spam
97,ham
98,ham
99,ham
100,ham
101,ham
102,ham
103,ham
104,ham
105,ham
106,ham
107,ham
108,ham
109,ham
110,ham
111,ham
112,ham
113,ham
114,spam
115,ham
116,ham
117,spam
118,ham
119,ham
120,spam
121,spam
122,ham
123,spam
124,ham
125,ham
126,ham
127,ham
128,ham
129,ham
130,ham
131,ham
132,ham
133,ham
134,spam
135,spam
136,ham
137,ham
138,ham
139,spam
140,ham
141,ham
142,ham
143,ham
144,ham
145,ham
146,ham
147,spam
148,ham
149,ham
150,ham
151,ham
152,ham
153,ham
154,ham
155,ham
156,ham
157,ham
158,ham
159,spam
160,spam
161,ham
162,ham
163,ham
164,spam
165,ham
166,ham
167,spam
168,ham
169,ham
170,ham
171,ham
172,ham
173,ham
174,ham
175,ham
176,ham
177,ham
178,ham
179,ham
180,ham
181,ham
182,ham
183,ham
184,ham
185,ham
186,ham
187,ham
188,spam
189,ham
190,ham
191,spam
192,ham
193,ham
194,ham
195,ham
196,ham
197,ham
198,ham
199,ham
200,ham
201,ham
202,ham
203,ham
204,ham
205,ham
206,ham
207,ham
208,ham
209,ham
210,ham
211,ham
212,ham
213,ham
214,ham
215,ham
216,ham
217,ham
218,ham
219,ham
220,ham
221,ham
222,ham
223,ham
224,ham
225,spam
226,ham
227,ham
228,ham
229,ham
230,ham
231,ham
232,ham
233,ham
234,ham
235,spam
236,ham
237,ham
238,ham
239,ham
240,spam
241,ham
242,ham
243,ham
244,ham
245,ham
246,ham
247,ham
248,ham
249,ham
250,spam
251,ham
252,ham
253,ham
254,ham
255,ham
256,ham
257,ham
258,ham
259,spam
260,ham
261,ham
262,ham
263,ham
264,spam
265,ham
266,ham
267,ham
268,spam
269,ham
270,spam
271,ham
272,ham
273,spam
274,ham
275,ham
276,ham
277,ham
278,ham
279,ham
280,ham
281,ham
282,ham
283,ham
284,ham
285,ham
286,ham
287,ham
288,ham
289,ham
290,ham
291,ham
292,ham
293,ham
294,ham
295,ham
296,spam
297,ham
298,ham
299,ham
300,ham
301,ham
302,ham
303,ham
304,ham
305,spam
306,ham
307,ham
308,ham
309,spam
310,ham
311,ham
312,spam
313,ham
314,ham
315,ham
316,ham
317,ham
318,ham
319,spam
320,ham
321,ham
322,ham
323,ham
324,ham
325,ham
326,ham
327,ham
328,ham
329,ham
330,ham
331,ham
332,ham
333,spam
334,ham
335,spam
336,ham
337,ham
338,ham
339,ham
340,ham
341,ham
342,ham
343,ham
344,ham
345,ham
346,ham
347,ham
348,ham
349,spam
350,ham
351,ham
352,ham
353,ham
354,ham
355,ham
356,ham
357,spam
358,spam
359,ham
360,ham
361,ham
362,ham
363,ham
364,ham
365,ham
366,ham
367,spam
368,spam
369,ham
370,ham
371,ham
372,ham
373,ham
374,ham
375,spam
376,ham
377,ham
378,ham
379,ham
380,ham
381,ham
382,ham
383,ham
384,ham
385,spam
386,ham
387,ham
388,ham
389,spam
390,ham
391,ham
392,ham
393,ham
394,ham
395,ham
396,spam
397,ham
398,ham
399,ham
400,ham
401,spam
402,ham
403,ham
404,ham
405,ham
406,ham
407,ham
408,ham
409,ham
410,ham
411,ham
412,ham
413,ham
414,ham
415,spam
416,ham
417,ham
418,spam
419,ham
420,spam
421,ham
422,spam
423,ham
424,spam
425,ham
426,ham
427,ham
428,ham
429,ham
430,ham
431,ham
432,ham
433,spam
434,ham
435,ham
436,ham
437,ham
438,ham
439,ham
440,ham
441,ham
442,ham
443,ham
444,ham
445,ham
446,ham
447,ham
448,ham
449,ham
450,ham
451,spam
452,ham
453,ham
454,ham
455,spam
456,ham
457,ham
458,ham
459,ham
460,ham
461,ham
462,ham
463,spam
464,ham
465,ham
466,ham
467,ham
468,ham
469,ham
470,ham
471,spam
472,ham
473,ham
474,spam
475,ham
476,ham
477,ham
478,ham
479,ham
480,ham
481,ham
482,ham
483,ham
484,ham
485,ham
486,ham
487,spam
488,ham
489,ham
490,ham
491,ham
492,spam
493,ham
494,ham
495,ham
496,ham
497,ham
498,ham
499,ham
500,ham
